Pernambuco | Todos os Munic&iacute;pios
Munic&iacute;pio [-],C&oacute;digo [-],Gent&iacute;lico [-],Prefeito [2021],&Aacute;rea Territorial - km&sup2; [2022],Popula&ccedil;&atilde;o residente - pessoas [2022],Densidade demogr&aacute;fica - hab/km&sup2; [2022],Escolariza&ccedil;&atilde;o &lt;span&gt;6 a 14 anos&lt;/span&gt; - % [2010],IDHM &lt;span&gt;&Iacute;ndice de desenvolvimento humano municipal&lt;/span&gt; [2010],Mortalidade infantil - &oacute;bitos por mil nascidos vivos [2022],Total de receitas brutas realizadas - R$ [2023],Total de despesas brutas empenhadas - R$ [2023],PIB per capita - R$ [2021],
Abreu e Lima,2600054,abreu-limense,FL&Aacute;VIO VIEIRA GADELHA DE ALBUQUERQUE,126.384,98462,779.07,97.2,0.679,10.51,267763170.66,275896879.90,17123.06,
Afogados da Ingazeira,2600104,afogadense,ALESANDRO PALMEIRA DE VASCONCELOS LEITE,377.696,40241,106.54,97.3,0.657,12.99,164164192.79,183129161.50,14430.74,
Afr&acirc;nio,2600203,afraniense,RAFAEL ANTONIO CAVALCANTI,1490.594,18674,12.53,98.7,0.588,12.66,95963172.34,86290079.96,10500.7,
Agrestina,2600302,agrestinense,JOSU&Eacute; MENDES DA SILVA,200.369,23779,118.68,96.4,0.592,5.46,118865783.55,109398597.20,13980.13,
&Aacute;gua Preta,2600401,&aacute;gua-pretense,NOELINO MAGALHAES OLIVEIRA LYRA,531.935,26461,49.74,94,0.553,17.19,117545957.71,118530385.40,6950.9,
&Aacute;guas Belas,2600500,&aacute;guas-belense,LUIZ AROLDO REZENDE DE LIMA,885.988,41548,46.89,96.1,0.526,14.27,162358716.51,168013311.60,9132.13,
Alagoinha,2600609,alagoinhense,UILAS LEAL DA SILVA,214.267,13542,63.20,96.3,0.599,10.87,71644680.42,69771817.48,9794.9,
Alian&ccedil;a,2600708,aliancense,XISTO LOUREN&Ccedil;O DE FREITAS NETO,272.773,35741,131.03,97,0.604,12.9,143528052.08,158905005.00,10761.16,
Altinho,2600807,altinense,ORLANDO JOS&Eacute; DA SILVA,450.178,20674,45.92,96.9,0.598,19.32,80178994.99,82169949.09,9679.46,
Amaraji,2600906,amarajinense,ALINE DE ANDRADE GOUVEIA,233.239,18205,78.05,96.6,0.580,10.83,85805594.05,96413868.79,12850.59,
Angelim,2601003,angelinense,MARCIO DOUGLAS CAVALCANTI DUARTE,118.088,10241,86.72,96.4,0.572,7.94,57643358.93,56553981.93,12588.25,
Ara&ccedil;oiaba,2601052,ara&ccedil;oiabense,CARLOS JOGLI ALBUQUERQUE TAVARES UCH&Ocirc;A,96.360,19243,199.70,97,0.592,42.55,94053246.48,89398875.30,7732.35,
Araripina,2601102,araripinense,JOS&Eacute; RAIMUNDO PIMENTEL DO ESP&Iacute;RITO SANTO,2037.394,85088,41.76,95.2,0.602,11.02,327535972.07,303646905.40,14912.98,
Arcoverde,2601201,arcoverdense,JOS&Eacute; WELLINGTON CORDEIRO MACIEL,343.923,77742,226.04,97.3,0.667,10.73,270843964.91,269469223.80,16141.61,
Barra de Guabiraba,2601300,guabirabense,DIOGO CARLOS DE LIMA SILVA,118.639,12263,103.36,93.7,0.577,6.58,66903026.02,65654574.00,10042.58,
Barreiros,2601409,barreirense,CARLOS ARTUR SOARES DE AVELLAR JUNIOR,233.433,40121,171.87,94.6,0.586,23.26,170525898.10,172360660.50,11757.3,
Bel&eacute;m de Maria,2601508,belenense,ROLPH EBER CASALE JUNIOR,73.145,10378,141.88,98.5,0.578,-,61193170.63,50415549.58,8176.47,
Bel&eacute;m do S&atilde;o Francisco,2601607,belenense,GUSTAVO HENRIQUE GRANJA CARIB&Eacute;,1830.797,18301,10.00,97.3,0.642,27.03,89199469.97,94864063.84,17669.71,
Belo Jardim,2601706,belo-jardinense,GILVANDRO ESTRELA DE OLIVEIRA,647.445,79507,122.80,97.1,0.629,13.79,301528911.57,264866563.60,35942.24,
Bet&acirc;nia,2601805,betaniense,MARIO GOMES FLOR FILHO,1244.074,11232,9.03,93.8,0.559,18.07,68421519.73,70773784.35,8220.08,
Bezerros,2601904,bezerrense,MARIA LUCIELLE SILVA LAURENTINO,492.632,61694,125.23,95.9,0.606,9.22,200820366.71,214874009.00,15794.39,
Bodoc&oacute;,2602001,bodocense,OTAVIO AUGUSTO TAVARES PEDROSA CAVALCANTE,1621.786,34478,21.26,95.7,0.565,15.09,148384639.65,151561479.20,8211.64,
Bom Conselho,2602100,conselhense,JOAO LUCAS DA SILVA CAVALCANTE,792.185,44294,55.91,96.2,0.563,27.54,169946443.92,174458344.70,13132.22,
Bom Jardim,2602209,bom-jardinense,JO&Atilde;O FRANCISCO DA SILVA NETO,224.108,37629,167.91,97,0.602,9.46,155688776.64,144114188.80,9165.99,
Bonito,2602308,bonitense,GUSTAVO ADOLFO NEVES DE ALBUQUERQUE C&Eacute;SAR,393.191,37474,95.31,96.7,0.561,18.48,140745004.83,146810871.80,14155.54,
Brej&atilde;o,2602407,brejonense,ELISABETH BARROS DE SANTANA,159.786,9079,56.82,96.3,0.547,16.95,67251919.85,63812418.83,20451.9,
Brejinho,2602506,breijinhense,GILSOMAR BENTO DA COSTA,106.039,7720,72.80,98.2,0.574,9.52,71202445.35,49345694.54,11200.23,
Brejo da Madre de Deus,2602605,brejense,ROBERTO ABRAHAM ABRAHAMIAN ASFORA,762.346,48648,63.81,95.6,0.562,14,181588678.28,186754772.60,8924.43,
Buenos Aires,2602704,buenairense,JOSE FABIO DE OLIVEIRA,93.187,12808,137.44,97.4,0.593,12.05,62574062.92,63604264.28,10068.94,
Bu&iacute;que,2602803,buiquense,ARQUIMEDES GUEDES VALEN&Ccedil;A,1336.544,52097,38.98,94.7,0.527,13.87,183461147.46,189452280.40,9235.21,
Cabo de Santo Agostinho,2602902,cabense,CLAYTON DA SILVA MARQUES,445.386,203440,456.77,96.5,0.686,11.87,1236226269.66,1069014585.00,65022.05,
Cabrob&oacute;,2603009,cabroboense,ELIOENAI DIAS SANTOS FILHO,1658.616,30294,18.26,97.6,0.623,12.17,145789647.51,150148447.70,12676.5,
Cachoeirinha,2603108,cachoeirinhense,IVALDO DE ALMEIDA,179.262,19899,111.01,95.3,0.579,13.56,84827671.31,75226480.80,12337.22,
Caet&eacute;s,2603207,caeteense,NIVALDO DA SILVA MARTINS,294.946,28827,97.74,92.6,0.522,7.59,119020435.04,114463454.20,14578.59,
Cal&ccedil;ado,2603306,cal&ccedil;adense,FRANCISCO EXPEDITO DA PAZ NOGUEIRA,121.945,11093,90.97,97.1,0.566,16,56252038.14,53636130.13,10497.94,
Calumbi,2603405,calumbiense,ERIVALDO JOSE DA SILVA,179.314,5228,29.16,95.3,0.571,-,43142033.73,45962182.63,8756.96,
Camaragibe,2603454,camaragibense,NADEGI ALVES DE QUEIROZ,51.321,147771,2879.35,97.4,0.692,14.04,530107919.58,461438588.30,13940.29,
Camocim de S&atilde;o F&eacute;lix,2603504,camociense ou camocinense,GIORGE DO CARMO BEZERRA,72.010,17419,241.90,97,0.588,9.09,72463701.09,67678864.92,9518.74,
Camutanga,2603603,camutanguense,TALITA CARDOZO FONSECA,39.116,7750,198.13,97.9,0.606,9.9,51077831.01,46822222.38,33213.32,
Canhotinho,2603702,canhotinhense,SANDRA REJANE LOPES DE BARROS,423.168,24329,57.49,91.8,0.541,14.23,114284895.00,106802279.30,10232.04,
Capoeiras,2603801,capoeirense,JOAQUIM COSTA TEIXEIRA,337.130,18338,54.39,96.5,0.549,22.39,96819190.88,91824971.09,12173.46,
Carna&iacute;ba,2603900,carnaibano,JOSE DE ANCHIETA GOMES PATRIOTA,427.802,18644,43.58,96.1,0.583,8.2,102631788.32,89957949.28,9841.63,
Carnaubeira da Penha,2603926,carnaubeirense,ELIZIO SOARES FILHO,1004.667,12239,12.18,98.1,0.573,23.53,53462344.78,54947193.57,6359.89,
Carpina,2604007,carpinense,MANUEL SEVERINO DA SILVA,147.017,79293,539.35,95.5,0.680,13.19,298111099.90,268235513.40,20496.82,
Caruaru,2604106,caruaruense,RODRIGO ANSELMO PINHEIRO DOS SANTOS,923.150,378048,409.52,94.9,0.677,13.17,1355576829.60,1393699983.00,23456.58,
Casinhas,2604155,casinhense,JULIANA BARBOSA DA SILVA AGUIAR,115.868,12967,111.91,97.5,0.567,-,84595317.30,71927574.78,7052.53,
Catende,2604205,catendense,GRACINA MARIA RAMOS BRAZ DA SILVA,208.594,32156,154.16,95.2,0.609,19.05,122088356.43,128306178.90,8236.25,
Cedro,2604304,cedrense,MARLY QUENTAL DA CRUZ,148.746,10518,70.71,95.5,0.615,33.78,51713325.54,52903926.98,10474.55,
Ch&atilde; de Alegria,2604403,alegriense,TARCISIO MASSENA PEREIRA DA SILVA,49.327,12984,263.22,97.1,0.604,26.14,64936216.89,57897023.87,12371.37,
Ch&atilde; Grande,2604502,ch&atilde;-grandense,DIOGO ALEXANDRE GOMES NETO,84.787,20546,242.32,96.7,0.599,7.09,118094931.21,120234354.90,11454.82,
Condado,2604601,condadense,ANTONIO CASSIANO DA SILVA,89.645,24587,274.27,97.3,0.602,10.91,107320415.29,109203093.90,9378.26,
Correntes,2604700,correntense,HUGO CESAR GOMES GALVAO,317.793,17131,53.91,93.1,0.536,-,78788707.43,76773222.71,10477.19,
Cort&ecirc;s,2604809,cortesense,MARIA DE FATIMA CYSNEIROS SAMPAIO BORBA,102.852,10198,99.15,97.2,0.568,13.07,68902150.78,71724307.09,9686.87,
Cumaru,2604908,cumaruense,MARIANA MENDES DE MEDEIROS,292.231,15920,54.48,98.5,0.572,-,81507601.88,77353210.69,11508.33,
Cupira,2605004,cupirense,JOS&Eacute; MARIA LEITE DE MACEDO,95.155,23518,247.15,97.3,0.592,6.49,114607211.23,109708837.80,11700.13,
Cust&oacute;dia,2605103,custodiense,EMMANUEL FERNANDES DE FREITAS GOIS,1404.126,37699,26.85,97.1,0.594,7.77,209203084.64,204345390.60,15780.83,
Dormentes,2605152,dormentense,JOSIMARA CAVALCANTI RODRIGUES YOTSUYA,1539.052,17188,11.17,97,0.589,10.64,99430414.32,101837887.40,12783.05,
Escada,2605202,escadense,MARIA JOSE FIDELIS MOURA GOUVEIA,342.584,59891,174.82,94.1,0.632,9.87,275144425.82,230201951.60,18743.36,
Exu,2605301,exuense,RAIMUNDO PINTO SARAIVA SOBRINHO,1336.786,31843,23.82,95.2,0.576,22.94,149147137.11,144817617.80,10253.15,
Feira Nova,2605400,feira-novense,DANILSON CANDIDO GONZAGA,107.726,21427,198.90,97.6,0.600,14.23,100531811.97,89365230.10,11071.1,
Fernando de Noronha,2605459,noronhense,GUILHERME CAVALCANTI DA ROCHA LEIT&Atilde;O,18.609,3167,170.19,100,0.788,-,-,-,73108.78,
Ferreiros,2605509,ferreirense,JOSE ROBERTO DE OLIVEIRA,92.516,15026,162.42,97.9,0.622,8.7,61146416.72,55397609.38,10846.66,
Flores,2605608,florense,MARCONI MARTINS SANTANA,995.558,20347,20.44,96.4,0.556,35.71,99018657.62,92344837.99,8530.94,
Floresta,2605707,florestano,ROSANGELA DE MOURA MANI&Ccedil;,3604.948,30137,8.36,95.6,0.626,20.18,140954607.08,152645174.90,13294.71,
Frei Miguelinho,2605806,frei-miguelinhense,ADRIANA ALVES ASSUN&Ccedil;&Atilde;O BARBOSA,212.707,13636,64.11,95.4,0.576,21.98,58926718.10,59103897.74,8407.94,
Gameleira,2605905,gameleirense,LEANDRO RIBEIRO GOMES DE LIMA,257.781,18214,70.66,97,0.602,11.07,95008673.30,85495658.33,8685.09,
Garanhuns,2606002,garanhuense,SIVALDO RODRIGUES ALBINO,458.552,142506,310.77,96.8,0.664,11.65,529312125.06,522944687.90,21769.91,
Gl&oacute;ria do Goit&aacute;,2606101,gloriense,ADRIANA DORNELAS CAMARA PAES,234.708,29347,125.04,98.3,0.604,21.62,126586639.06,120306057.10,17979.59,
Goiana,2606200,goianense,EDUARDO HON&Oacute;RIO CARNEIRO,445.405,81055,181.98,96.7,0.651,13.77,767850710.89,774292171.50,132714.72,
Granito,2606309,granitense,JOAO BOSCO LACERDA DE ALENCAR,521.690,6967,13.35,98.5,0.595,27.78,48971876.82,45063106.88,10339,
Gravat&aacute;,2606408,gravataense,JOSELITO GOMES DA SILVA,507.360,86516,170.52,97.2,0.634,9.85,310722200.60,321709597.60,15938.31,
Iati,2606507,iatiense,ANTONIO JOS&Eacute; DE SOUZA,635.137,17165,27.03,90.5,0.528,10.45,95200733.30,99170325.25,10153.51,
Ibimirim,2606606,ibimiriense,JOSE WELLITON DE MELO SIQUEIRA,1882.498,26593,14.13,93.7,0.552,5.22,109745800.96,102743517.80,11158.32,
Ibirajuba,2606705,ibirajubense,MARIA IZALTA SILVA LOPES GAMA,189.596,7140,37.66,96.7,0.580,-,47718958.44,48818343.22,11003.14,
Igarassu,2606804,igarassuano,ELCIONE DA SILVA RAMOS PEDROZA BARBOSA,306.879,115196,375.38,97.9,0.665,15.42,409732834.36,419580675.10,29003.48,
Iguaracy,2606903,iguaraciense,JOSE TORRES LOPES FILHO,838.132,11081,13.22,98.7,0.598,15.75,62944874.65,65247844.96,9161.79,
Inaj&aacute;,2607000,inajaense,MARCELO MACHADO FREIRE,1231.362,25603,20.79,84.2,0.523,20.9,116759722.62,113202758.30,8191.73,
Ingazeira,2607109,ingazeirense,LUCIANO TORRES MARTINS,243.586,4765,19.56,98.2,0.608,-,40851280.23,40107069.62,11130.08,
Ipojuca,2607208,ipojuquense ou ipojucanos,CELIA AGOSTINHO LINS DE SALES,521.801,98932,189.60,97.3,0.619,9.96,1659279430.40,1446070586.00,150647.79,
Ipubi,2607307,ipubiense,FRANCISCO RUBENS MARIO CHAVES SIQUEIRA,693.914,29009,41.80,95.1,0.550,21.7,153495294.55,157050710.00,10800.4,
Itacuruba,2607406,itacurubense,BERNARDO DE MOURA FERRAZ,430.038,4284,9.96,97.5,0.595,-,45187514.53,39833071.78,14220.22,
Ita&iacute;ba,2607505,itaibense,MARIA REGINA DA CUNHA,1061.694,32650,30.75,93.3,0.510,2.68,120631595.72,118453214.00,10789.31,
Ilha de Itamarac&aacute;,2607604,itamaracaense,PAULO BATISTA ANDRADE,66.146,24540,371.00,97.6,0.653,8.03,95828577.94,99993070.12,11051.57,
Itamb&eacute;,2607653,itambeense,MARIA DAS GRA&Ccedil;AS GALLINDO CARRAZZONNI,304.006,34935,114.92,94.6,0.575,7.43,119149580.19,136873956.00,14321.34,
Itapetim,2607703,itapetinense,ADELMO ALVES DE MOURA,411.901,13791,33.48,97.5,0.592,23.39,74882859.44,76355963.43,10367.12,
Itapissuma,2607752,itapissumense,JOS&Eacute; BEZERRA TEN&Oacute;RIO FILHO,73.968,27749,375.15,97.6,0.633,2.78,182431566.57,187703338.80,87814.64,
Itaquitinga,2607802,itaquitinguense,PABLO JOSE DE OLIVEIRA MORAES,162.739,16554,101.72,97.3,0.586,21.51,82095075.78,77074254.88,9431.09,
Jaboat&atilde;o dos Guararapes,2607901,jaboat&atilde;oense,ANDERSON FERREIRA RODRIGUES,258.724,644037,2489.28,96.8,0.717,13.96,2156550320.38,1931611747.00,22680.83,
Jaqueira,2607950,jaqueirense,RIDETE CELLIBE PELLEGRINO DE MAC&Ecirc;DO OLIVEIRA,87.208,10247,117.50,95.4,0.575,6.49,64133782.39,58743930.80,9611.54,
Jata&uacute;ba,2608008,jataubense,C&Aacute;TIA JUNSARA RODRIGUES AQUILINO,714.601,15843,22.17,97.6,0.530,30.57,85660619.79,80798318.92,8948.98,
Jatob&aacute;,2608057,jatobaense,ROG&Eacute;RIO FERREIRA GOMES DA SILVA,277.862,14020,50.46,97.7,0.645,9.9,70500440.84,73561194.00,10318.9,
Jo&atilde;o Alfredo,2608107,alfredense,JOS&Eacute; ANTONIO MARTINS DA SILVA,134.147,27725,206.68,97.1,0.576,10.31,128080094.61,123755615.80,9432.35,
Joaquim Nabuco,2608206,nabuquense,ANTONIO RAIMUNDO BARRETO NETO,122.592,13269,108.24,95.5,0.554,12.05,62552251.90,61782545.20,11332.6,
Jucati,2608255,jucatiense,JOS&Eacute; EDNALDO PEIXOTO DE LIMA,120.527,11517,95.56,98,0.550,12.82,67873077.84,61329487.15,11197.05,
Jupi,2608305,jupiense,ANTONIO MARCOS PATRIOTA,104.835,15329,146.22,96.3,0.575,12.35,102428681.25,96664718.69,14274.96,
Jurema,2608404,juremense,EDVALDO MARCOS RAMOS FERREIRA,148.254,13648,92.06,96,0.509,14.93,63503739.16,61957692.45,8579.73,
Lagoa do Carro,2608453,lagoense do carro,JUDITE MARIA BOTAFOGO SANTANA DA SILVA,69.666,17981,258.10,97.8,0.609,32.86,96226575.03,95418569.59,16313.12,
Lagoa de Itaenga,2608503,itaenguense,MARIA DAS GRA&Ccedil;AS DE ARRUDA SILVA,56.131,19003,338.55,98.9,0.602,14.04,102179125.83,99096335.43,22468.99,
